Unnamed: 0,party_mentioned,post_stance,author_id,num_of_agents_received,num_of_agents_not_received,num_of_spreader_agents,num_of_disinterested_agents,network_polarization,net_polarization2,network_homophily,network_homophily2,network_polarity,user_satisfaction
82,1.0,-0.335564,2151.2,2130.0,1908.0,658.0,1472.0,0.1201892,0.07763980171568143,-8.145532689998996e-05,0.00151022802358828,-0.005190000000000001,-2.1479849394465888e-05
83,0.0,-0.552554,2007.2,2396.6,1641.4,1064.7,1331.9,0.1200104,0.07755150367526571,-0.00018200537808859,0.00126827298664115,-0.005211199999999999,-2.142498246733503e-05
84,1.0,0.669822,1878.6,2989.8,1048.2,1538.6,1451.2,0.1204096,0.07775501579143432,-0.00013768134621043737,0.0011149616067634082,-0.0053276,-1.7629825082099963e-05
85,5.0,-0.51065,2007.0,3068.9,969.1,1337.5,1731.4,0.12015660000000002,0.07757409285482261,-0.00012491445752214997,0.0006813041768447601,-0.005336400000000001,-1.3782926982887868e-06
86,1.0,-0.624921,2241.7,3426.4,611.6,1706.7,1719.7,0.1197568,0.0772933128599089,-0.00023263050202950998,0.0009635410531497999,-0.0052196,5.3557302653093985e-06
87,5.0,0.368528,1778.9,2953.9,1084.1,1008.3,1945.6,0.1199683,0.07742154732576574,-0.00025076370306026,0.00091090666741642,-0.005250899999999999,-4.139409993286226e-06
88,4.0,0.780724,2209.9,2986.5,1051.5,1630.4,1356.1,0.12031750000000001,0.07763095952944274,-8.800819138654816e-05,0.0008676270769279,-0.0052008,-4.102952253886625e-06
89,2.0,-0.561024,2104.0,3146.9,891.1,1483.6,1663.3,0.12008890000000001,0.07749754303819643,-0.00016515159255310998,0.0010209083414561095,-0.0051400000000000005,1.3349781048745354e-05
90,0.0,0.534075,1850.1,2444.0,1594.0,1024.0,1420.0,0.12034719999999999,0.07762983033635724,-0.00023016348268185385,0.0010490508941504426,-0.0051364,1.737823956412336e-05
91,4.0,0.41089000000000003,1911.1,2976.2,1061.8,1061.8,1914.4,0.12066740000000001,0.07785239151372356,-0.0002625834567570441,0.0010651025144188043,-0.0051284,1.904142533617294e-05
92,2.0,0.42807399999999995,1529.0,2578.1,1459.9,980.2,1597.9,0.1208908,0.0780307370112477,-0.00018904757438789266,0.0011660239237970278,-0.0051783,1.6843813621828203e-05
93,2.0,0.344684,2082.8,2621.7,1416.3,833.9,1787.8,0.1211132,0.07818862827833185,-9.021299489608236e-05,0.0013707637038801901,-0.005220299999999999,1.61651178303926e-05
