Unnamed: 0,party_mentioned,post_stance,author_id,num_of_agents_received,num_of_agents_not_received,num_of_spreader_agents,num_of_disinterested_agents,network_polarization,net_polarization2,network_homophily,network_homophily2,network_polarity,user_satisfaction
13,3.0,0.364569,1470.2,2343.0,1695.0,808.5,1534.5,0.11676420000000001,0.07483710482959002,-0.0006767401268925275,0.0005179532595164499,-0.005504300000000001,2.153632653122871e-05
14,1.0,0.672398,1993.7,2936.9,1101.1,1582.1,1354.8,0.1170617,0.07500763790813636,-0.00066982460819688,0.0005246583567112289,-0.0055057,2.320360122043682e-05
15,3.0,0.814067,2491.8,3022.2,1015.8,1791.5,1230.7,0.11747939999999998,0.07515652746831379,-0.00080449422079471,0.0005554568501188,-0.005471599999999999,2.8730286785082818e-05
16,4.0,-0.85685,1787.6,3635.9,402.1,2192.0,1443.9,0.1173542,0.07510946589708276,-0.0007004192694794903,0.000592076326665293,-0.0054623,3.9982043917221826e-05
17,0.0,-0.785117,1733.4,3440.3,597.7,2002.0,1438.3,0.11714469999999999,0.07509311524616867,-0.0008207015139960201,0.00062184943708253,-0.0055133,3.77147053345918e-05
18,2.0,-0.39117,2270.6,2664.3,1373.7,991.1,1673.2,0.11700569999999999,0.075004023261256,-0.0008876010776989899,0.00033471482262283005,-0.0055284,3.843861560234158e-05
19,4.0,-0.272472,2504.2,1667.7,2370.3,412.5,1255.2,0.11692340000000001,0.07494224094583049,-0.0009312788291564299,0.00026437645378756,-0.0055254,4.219153638456308e-05
20,5.0,-0.248584,2280.8,1799.7,2238.3,438.9,1360.8,0.11686080000000001,0.07488366656273904,-0.00089225916328797,0.00018844376287860997,-0.0055402,4.5601461736455595e-05
21,3.0,-0.828362,1982.2,2962.8,1075.2,1752.3,1210.5,0.116578,0.07489337337677708,-0.000836456128079964,0.0002875687702583383,-0.005606699999999999,6.151794582904859e-05
22,5.0,-0.692933,2418.8,3750.3,287.7,2067.6,1682.7,0.11636869999999999,0.0748404148244636,-0.0009950604699068915,0.00016794448873156173,-0.0056168,6.766862907540958e-05
23,4.0,-0.708449,1614.2,3180.4,857.6,1706.0,1474.4,0.1162696,0.07488170901851246,-0.0009076283983837001,0.00027572452289428004,-0.0055858999999999995,5.4771763308310155e-05
24,3.0,-0.17273,1422.2,1686.3,2351.7,293.8,1392.5,0.1162034,0.07482994029864955,-0.0009189217384172573,0.00017132348373703998,-0.005596100000000001,5.5119868424077683e-05
25,1.0,-0.587247,1688.9,2979.9,1058.1,1468.5,1511.4,0.1159706,0.07469776818717036,-0.00115772194217317,-4.258981634944004e-05,-0.0055082,5.037432625916128e-05
26,4.0,0.9312249999999999,1952.9,3360.5,677.5,2085.4,1275.1,0.1162579,0.07491775012393852,-0.00098858005429506,-7.451034170069697e-05,-0.0055007,3.315999607143826e-05
27,3.0,0.46000499999999994,1764.9,2490.6,1547.4,1000.7,1489.9,0.11652199999999999,0.0749967329877135,-0.00085021614711098,-6.840228491886003e-05,-0.0055634000000000005,1.992710668739089e-05
28,0.0,-0.8382530000000001,2445.6,3279.8,758.2,1954.7,1325.1,0.1162948,0.07497919227442865,-0.00077369431724205,-0.00021524378511450997,-0.0056078000000000005,7.591672162836043e-06
