Unnamed: 0,party_mentioned,post_stance,author_id,num_of_agents_received,num_of_agents_not_received,num_of_spreader_agents,num_of_disinterested_agents,network_polarization,net_polarization2,network_homophily,network_homophily2,network_polarity,user_satisfaction,user_activity
20,5.0,-0.248584,1402.9,2565.9,1472.1,617.3,1948.6,0.11681889999999999,0.07493482827760459,-0.00032867640452235,-0.0001790879382583343,-0.0055388,3.911957096546701e-05,0.8767162626787472
21,3.0,-0.828362,1785.9,3423.8,614.2,2055.0,1368.8,0.11643110000000001,0.07490350998882103,-0.00052730608297236,-0.00018037735060763002,-0.005572899999999999,6.293091596328816e-05,0.8767375880449683
22,5.0,-0.692933,1997.3,3433.2,604.8,1897.5,1535.7,0.116209,0.07479659184560161,-0.0006787060071451201,-0.0005521634485046301,-0.0055523000000000005,8.127508788427276e-05,0.8767654196369465
23,4.0,-0.708449,1914.0,2557.0,1481.0,1371.7,1185.3,0.1161134,0.0747487407021796,-0.0006570765649556,-0.00048059308090394004,-0.0055506,8.864262993263864e-05,0.8767654196369465
24,3.0,-0.17273,1964.5,808.7,3229.3,136.3,672.4,0.11608460000000001,0.07472731962806015,-0.0006387086163664099,-0.00052033918685593,-0.0055478,8.58235443588072e-05,0.8767593238170241
25,1.0,-0.587247,1847.9,3286.1,751.9,1612.6,1673.5,0.11584019999999999,0.0747326821244432,-0.00041387778766301,-0.0005276673423196099,-0.005534900000000001,0.0001007523023699032,0.8767577790252961
26,4.0,0.9312249999999999,1846.0,3250.9,787.1,1996.1,1254.8,0.11608559999999998,0.07495971487507566,-0.0003492510357553642,-0.000433576914020832,-0.0055864999999999995,9.536798795467233e-05,0.876706495236876
27,3.0,0.46000499999999994,2214.2,2289.2,1748.8,928.6,1360.6,0.1163286,0.07499767118699913,-0.00038985065582263997,-0.0004736922891562732,-0.005544,9.077172870457254e-05,0.8767094750833726
28,0.0,-0.8382530000000001,1586.7,3432.8,605.2,2034.5,1398.3,0.11611439999999999,0.07497062530511656,-0.00039800460150831,-0.00031694178903263014,-0.005573999999999999,0.00010959697613107546,0.876700718977901
29,1.0,0.335564,2094.8,2284.1,1753.9,715.5,1568.6,0.116299,0.07510108083719977,-0.00028921808445478,-0.0003744020405879899,-0.0056227,0.00010424616958905355,0.8766884019470765
30,3.0,-0.331349,1311.7,1800.0,2238.0,548.4,1251.6,0.11617249999999998,0.0750780385764279,-0.00038281378308013,-0.0002398670333182805,-0.005642399999999999,0.00010523787129719534,0.8766871711293205
31,5.0,0.650553,1875.5,3248.8,789.2,1698.8,1550.0,0.11647129999999999,0.07529981715994345,-0.00040797231936168,0.00018887972162893999,-0.0056397,0.00012548476326714584,0.8766794319612097
32,0.0,-0.570672,2087.7,2884.2,1153.8,1337.3,1546.9,0.1163113,0.07532247118282195,-0.00033098525918934246,0.0003915942573103501,-0.005653300000000001,0.00012827723827971157,0.8766641793801252
33,0.0,-0.245424,2040.4,1497.7,2540.3,335.5,1162.2,0.1162557,0.07530334595377586,-0.00036781530921099005,0.0002903453289373501,-0.0056577,0.00012037831380622813,0.8766425418089443
