Unnamed: 0,network_polarization,network_polarization2,network_homophily,network_homophily2,network_polarity,user_satisfaction
0,0.11767799999999999,0.07496774152843083,-0.00099561865113032,-0.0009831204741495099,-0.0054549,7.226494577178071e-06
100,0.117436867,0.07593484801017766,-0.0006180933197153199,0.0002716173211104726,-0.005655179999999999,0.00011233301986650372
200,0.123129638,0.07930329971697464,-0.0005639020755234404,0.0019292886106317614,-0.005553882999999999,0.00011924778759280104
300,0.124115403,0.08049819516092885,-0.0008442530038419246,0.0015429152586419112,-0.004950719,4.5579027070968004e-05
400,0.127060996,0.0824830870722437,0.00012657503229715315,0.0026483156419422975,-0.004277172,2.5113160857901423e-05
500,0.126774653,0.08318925101017273,-0.0001188296407543024,0.002412973625898805,-0.00466213,3.87824256035695e-06
600,0.126171791,0.08351991583607246,0.0003037356079119431,0.001610134930121465,-0.005160888,-1.5845548442637105e-05
700,0.12822085000000003,0.08519112708477973,5.9494402309987024e-05,0.002935402156764365,-0.005047653,-6.468845356411946e-05
800,0.126034919,0.08423011632822153,-0.0005199833041693987,0.0028206890782041263,-0.004651271,-7.03930464211436e-05
900,0.125635774,0.08439631051571675,-0.00010536075805502498,0.003260964862030105,-0.004781741,1.2016489165487786e-05
1000,0.127397039,0.08557815361347072,0.00040186790759906104,0.0039383023048997915,-0.004778234,4.104613226333393e-05
1100,0.127565663,0.08627119543343965,0.00021708945130087152,0.004192180042927023,-0.004249308,0.00018226173350567373
1200,0.128709065,0.08732209274996806,0.0002625047985904095,0.004156578794597271,-0.004283327,0.0002684525123730472
1300,0.128784654,0.08729600944913114,0.0001135434974891414,0.0037014169460066588,-0.004195961,0.00039387168457919694
1400,0.129486983,0.0876266770958162,-0.0005682041214421154,0.00409372596448404,-0.004338955,0.0003738458240825664
1500,0.128526055,0.08749177099270802,-0.0005320746776257121,0.00444730234959651,-0.004014146999999999,0.0004967266114447732
1600,0.12920178999999998,0.08814020836821991,-4.004220646455905e-05,0.0052997814610086565,-0.004122716,0.0005725448002240602
1700,0.129751751,0.08846114727604952,0.0002647105280968708,0.006230979638577327,-0.00403857,0.0006147989381235633
1800,0.128803875,0.08783943280444138,-2.6059152440360938e-05,0.005654895101858633,-0.00361166,0.0007036163317584569
1900,0.128308152,0.087717870564632,4.109408694377311e-05,0.0057041196062104305,-0.003555001,0.0007756927563080386
2000,0.127237388,0.08713293444908408,0.0004569606609048207,0.006289557097157853,-0.003539983,0.000763679491307247
2100,0.125803909,0.08652395024449375,0.0011755077167909971,0.007161794177639617,-0.003661362,0.0008388845057000772
2200,0.12530165399999998,0.08655582631552264,0.0009563641573903484,0.0062483831338976704,-0.0036829819999999996,0.0009742369083240729
2300,0.126081042,0.08726428493448209,0.0011586119284647805,0.0051870731124868345,-0.0036786060000000005,0.0010601166096773057
2400,0.12782627400000002,0.08851070299809835,0.0007242442697659838,0.006545249324979492,-0.0036920099999999995,0.0011173316897855187
2500,0.127179668,0.08789761298643743,0.0005201115218791065,0.0063301055823657805,-0.0035490910000000003,0.0011618041073253303
2600,0.126578398,0.08755471392069449,0.0001858805209152489,0.005971428911375144,-0.003342639,0.0011606082163371516
2700,0.128681102,0.08898620139822398,0.0004938801760253977,0.005488481868358727,-0.003490722,0.0011788725326985876
2800,0.129005604,0.08902854278561671,0.0006158879059443959,0.00546732748292851,-0.003558334,0.0012792187987017247
2900,0.129678554,0.0895455000786928,0.0003452595337162749,0.005596365979417901,-0.003671244,0.0013832822104936809
