,Unnamed: 0,id,user_activity,pol_interest,privacy_preference,user_satisfaction,issue_0,issue_1,issue_2,issue_3,issue_4,issue_5,pol_inclination
0,0,0,0.415718,0.446807,0.601672,0.0,-0.02393976765489693,-0.24498471139496963,0.0028741814239900444,-0.27639799203187565,-0.01427411496543374,-0.16706227438241367,-0.12063077983426658
1,1,1,1.0,0.642917,0.569903,0.0,-0.17833674517971398,-0.5389423182673004,0.008406670018614587,-0.009620131515265182,0.030799446735945264,0.10467362292591902,-0.09716990921363346
2,2,2,0.821478,0.533464,0.496646,0.0,-0.21197191192884915,-0.1564793913783688,0.356498,-0.0006797286745345299,0.018590000000000023,0.3961459999999999,0.06701716133637457
3,3,3,0.592718,0.356007,0.523628,0.0,0.20618150789235273,0.019107109752012623,0.031472424111938443,-0.3659874336183724,-0.012033922365836953,0.33866655729737505,0.03623437384491159
4,4,4,0.6096697,0.559278,0.475022,-0.13855930000000002,0.009174057304526667,-0.01631172255360873,0.49794905553771474,0.5932660766296614,-0.04448023709314202,0.4610882595343721,0.25011424822658734
5,5,5,1.0,0.398027,0.589037,0.0,-0.5226866799934407,-0.2536150689000472,0.07617147729018194,0.004584174825219736,-0.031823531494420944,-0.31563760838007304,-0.17383453944209667
6,6,6,1.0,0.451921,0.695439,0.0,-0.17668908543260153,-0.44983307106047976,-0.4143479999999999,-0.02028849370569803,0.3818459999999999,-0.0766660000000001,-0.12599644169979654
7,7,7,1.0,0.260141,0.520637,0.0,0.13306886813647695,-0.011205014736200752,1.0,-0.3471729016846035,0.1523566556772901,0.0258465757364916,0.15881569718824243
8,8,8,0.2242234,0.607064,0.4788,-0.0352666,-0.0491319999999999,0.030504148627488892,-0.06555848887715382,0.02454609862581522,0.3790299999999997,0.13965373855047625,0.07650724948777106
9,9,9,0.745117,0.55315,0.462198,0.0,0.009107461027314204,0.01661604037434855,-0.0041459081957615496,-0.08320601995439136,0.10156980164489114,-0.05118004940214119,-0.0018731124176233672
10,10,10,0.74506,0.337265,0.469232,0.0,1.0,-0.25449609004258816,-0.1031999999999999,0.02933200000000008,-0.140276,0.2999859999999998,0.13855765165956865
11,11,11,0.896949,0.58074,0.668011,0.0,-0.4285319999999999,-0.37859,0.337412,0.2833019999999999,0.2436699999999998,-0.016306,0.006825999999999964
12,12,12,1.0,0.547801,0.438957,0.0,0.0829660000000001,-0.07777681131074993,-0.2653999999999999,0.4563159999999999,0.3574059999999999,0.1018799999999999,0.10923186478154166
13,13,13,0.810154,0.387726,0.439856,0.0,0.07258068273214507,0.06987895843498876,-0.053115475153371436,-0.5523300775284673,0.2545797399350354,-0.18339081999867146,-0.06529949859639016
14,14,14,0.845524,0.571205,0.339092,0.0,-0.009123279091677428,0.0754859999999999,-0.46255991516852535,0.8,0.5070612585826239,-0.04671,0.14402567738707017
15,15,15,0.67853,0.607718,0.491385,0.0,0.4407380000000001,-0.407612,0.050278,0.6204719999999999,0.1764999999999998,0.229244,0.18493666666666664
16,16,16,0.895704,0.256393,0.525226,0.0,0.10345007656732313,0.4303533384971518,-0.2976607102940142,0.0188939999999999,1.0,0.04447452164465211,0.2165852044025188
17,17,17,0.971219623076923,0.42431,0.678649,0.0051926230769230785,0.07235700773207637,-0.42430377269725933,0.4760892135726369,0.01147734124167786,-0.0193138724216243,0.41020418465251446,0.08775168368000368
18,18,18,1.0,0.492757,0.506878,0.0008429000000000002,-0.1443779999999999,-0.3086919999999999,0.1101480000000001,0.4089819999999999,0.3004081052893254,-0.0837420000000001,0.04712101754822091
19,19,19,0.9733533692307692,0.331306,0.579283,-0.026646630769230774,-0.17385212174053732,-0.12287859456905452,0.4908568449821858,-0.01342391764146977,0.06214278215387335,0.4108565806292672,0.10895026230237746
20,20,20,0.7380191500000001,0.621407,0.358532,-0.07109585,-0.37370702290087,-0.3745228195494693,-0.6318427021988233,-0.24201318201144406,0.041604932044941215,0.0301339999999998,-0.25839113243594425
21,21,21,1.0,0.450077,0.466099,0.0,-0.35238947176483076,0.06516612428402543,-0.7746505066168172,-0.08010875771056175,0.1289813598960478,0.12190208430658334,-0.14851652793425887
22,22,22,0.735903,0.485036,0.456847,0.0,0.9977992844564703,0.006873165078833173,-1.0,-0.094307375979577,-0.07259271477833913,-0.501692556571394,-0.11065336629900112
23,23,23,0.915634,0.708423,0.153268,0.0,0.000642,0.029883469561740345,-0.17212275803451985,-0.47483020230911854,-0.014460156014653933,-0.031219428672088594,-0.11035117924477343
24,24,24,1.0,0.264305,0.372165,0.0,-0.073718,-0.17125924810331056,-0.2572542845027118,-0.005099462127750847,-0.05779133787007687,-0.28226955839187384,-0.14123198183262065
25,25,25,1.0,0.681325,0.436155,0.00651156,-0.12675148518607535,-0.078446004189078,0.12172471311687903,0.008464476928759911,0.03091185256559803,-0.07279085327931219,-0.01948121667387143
26,26,26,1.0,0.306043,0.366803,0.0,0.005865082152076439,-0.39872169650588607,-0.007767732409178246,0.009501312450362884,-0.019710644437234772,-0.2947778035841581,-0.1176019137223363
27,27,27,0.977282,0.264931,0.319566,0.0,0.2521081505772423,0.2962523024911118,-0.4414450405663605,0.096661341544731,-0.15348443515647026,-0.4168631270859424,-0.06112846803261468
28,28,28,0.89553375,0.6277,0.331316,-0.10446624999999998,-0.23924383159196563,0.5443229664521103,0.0067779999999999,0.23746179813864043,0.1892054846970433,0.0987259999999998,0.13954173628263802
29,29,29,0.985125,0.581723,0.348637,0.0,0.12211068542445452,0.01962417252533003,-0.2850189624296057,-0.029944002459649607,-0.37683913223219684,0.0024979999999998,-0.09126153986194464
30,30,30,0.9902,0.389531,0.473227,0.0,0.8333752000000001,0.4041676481255635,-0.359932165817702,0.21870205641501791,0.09504999876150061,0.5218257953577974,0.2855314221403629
31,31,31,1.0,0.385307,0.337504,0.02112620434782609,-0.29274126732619143,-0.3333032344840688,0.8488110594144567,0.09436333769171373,-0.0656840549190696,0.005272851021514757,0.04278644856639255
32,32,32,0.664114,0.545019,0.488838,0.0,0.5150351332674683,-0.09062314455153082,-0.3440499999999999,1.0,0.5606659999999999,-0.085278,0.2592916647859896
33,33,33,1.0,0.301658,0.403841,0.0,-0.0796739999999999,-0.0036878732443343942,-0.0725779999999999,-0.06943881063930397,-0.0442900000000001,0.1697759999999999,-0.016648780647273067
34,34,34,0.977321,0.449521,0.677984,0.0,-1.0,-0.031208099245430027,-0.030241705669044744,0.006676679155814165,-0.5781557768666424,-0.6172515715041123,-0.3750300790215692
35,35,35,1.0,0.565745,0.424883,0.0,-0.0930899999999999,0.215084,0.2630060000000001,0.427502,0.3010819999999998,0.0060199999999999,0.18660066666666664
36,36,36,0.669615,0.491547,0.403473,0.0,-0.13818427491999694,-0.328378,-0.403616,0.617841835008281,-0.0969190095087405,0.1048679999999999,-0.04073124157007607
37,37,37,1.0,0.490216,0.35121,0.0,0.0701979999999999,0.1338699999999999,0.2215199999999999,0.2373240000000001,0.157902,-0.05142,0.1282323333333333
38,38,38,0.982109,0.431223,0.240424,0.0,0.05198546428231411,-0.320075217056316,0.0031234511158539473,0.03004722277438521,0.010074513351958359,-0.21451838420193692,-0.07322715828895689
39,39,39,0.911916,0.476545,0.413507,0.0,-0.007414515435196209,-0.0312919999999999,0.016272138655726215,0.017132019277961527,-0.4667147783437463,-0.054439913210862,-0.08774284150935278
40,40,40,1.0,0.346242,0.343074,0.0,-0.02233087496509391,-0.4664922178139557,0.08309703012516516,-0.00941628360942275,-0.17844861269059553,-0.0849823075198103,-0.11309554441228552
41,41,41,1.0,0.679929,0.234954,0.0,-0.6523340575634667,-0.03457139936329778,0.20107754569529698,-0.00014622767931248004,0.29210362745802393,0.0283519999999999,-0.027586418575459362
42,42,42,0.7029597,0.719086,0.459747,-0.00029630000000000005,0.2864,0.3980665256048245,0.1491120000000001,0.031852820306320084,-0.027392,-0.0328480000000001,0.13419855765185743
43,43,43,1.0,0.601167,0.309509,0.0,0.0162520000000001,0.1082659999999999,0.197632,0.024614277917134608,0.2040459999999999,0.2360119999999999,0.1311370463195224
44,44,44,1.0,0.377161,0.602434,0.0,0.008528,0.317452,-0.090302,-0.1312499999999999,-0.149276,0.0384839999999999,-0.0010606666666666646
45,45,45,1.0,0.493891,0.44802,0.0,0.900838,0.3288815980472259,-0.3111605504439655,-0.003365774502191915,0.2742931279241011,-0.027395868645718583,0.19368175539657517
46,46,46,1.0,0.495714,0.310507,0.0,0.22205277217824002,0.263174,0.2936080000000001,0.161582,-0.1237500000000001,-0.34089489347852536,0.07929531311661911
47,47,47,0.7944278,0.507937,0.347549,0.0127578,0.183138,-0.05122767168478162,0.1022199999999999,0.1244659999999999,-0.3825700000000001,0.1247579999999999,0.01679738805253633
48,48,48,0.599642,0.382186,0.57993,0.0,0.39713931419357457,-0.18718237758020376,0.2143700759824995,-0.0962721094560401,0.4098655979087146,-0.010612668466814152,0.1212179720969551
49,49,49,0.5499518999999999,0.551501,0.423923,-0.0973241,-0.062106352693073796,0.12571322098039023,-0.28653406738309617,0.15600515258404224,-0.2418716825731867,-0.051706,-0.060083288180820704
50,50,50,1.0,0.460421,0.565366,0.0,-0.056243086609943524,-0.16029726761368102,-0.001661220631090532,-0.07814362167918204,0.01728203324407497,0.20833310405140945,-0.011788343206402119
51,51,51,0.980505,0.474974,0.414345,0.0,0.010672748292853428,0.7308300000000001,-0.29348822715033795,-0.6707792010515286,0.08044550860734204,0.3431938468731783,0.03347911259525123
52,52,52,1.0,0.206544,0.476928,0.0,-0.34436398940608415,0.212852,-0.564828,-0.017054113152731875,-0.2117960000000001,0.362676,-0.09375235042646934
53,53,53,0.802701,0.510854,0.501711,0.0,-1.0,0.07395757502825849,-0.0014498534913229971,0.10218560928379934,0.1835898885725706,0.08237132903873205,-0.09322424192799374
54,54,54,1.0,0.430345,0.519515,0.01078345,0.00418268003920505,-0.320603325103695,0.2908682091746676,0.3308554838426904,0.013387042844931935,-0.015826122226313077,0.05047732809524782
55,55,55,0.838344,0.615814,0.474157,0.0,-0.02604354763153157,-0.17803638852632847,-0.6356539541919713,-0.21484326582719757,-0.09041921820394086,0.0079899999999999,-0.18950106239682832
56,56,56,0.982586,0.582841,0.533946,0.0,-0.3137777172618642,-0.379852712769105,-0.009600198189531579,0.016009587233193776,0.01993883493183977,-0.06729947831091018,-0.12243028072772959
57,57,57,0.740883,0.251395,0.592611,0.0,-0.15331384108592722,-0.21268611432794307,0.04096008527807259,0.797867958857922,-0.23739859734890062,0.0014255996292666107,0.03947584850041506
58,58,58,1.0,0.371748,0.461505,0.031803291666666664,-0.18001989043496341,-0.12324709452110344,0.1042467847466083,0.13768283735528178,-0.005377287209679799,-0.9683804239386061,-0.17251584566707712
59,59,59,0.163019,0.355602,0.544118,0.0,0.777404,0.2315680574210926,-0.15884665807631365,-0.22339676178769288,0.1202659999999999,-0.08497025741489322,0.11033739669036542
60,60,60,1.0,0.178067,0.215411,0.0,0.9741639999999998,0.001947612227079067,-0.2849637066338866,-0.3675434928477648,0.3119759999999998,0.1446499999999999,0.13003840212423787
61,61,61,1.0,0.548991,0.495352,0.0,0.026442,0.2080218401223391,1.8260036627477938e-05,0.5098081340572966,0.2933558460169818,-0.1832669777307339,0.14239651708375187
62,62,62,0.7950756999999999,0.608605,0.538341,-0.012284300000000001,0.026019338460752356,-0.008183616931987645,0.4586332272773841,0.0012764016997927913,-0.020771301356634724,0.9537256768500171,0.2351166209998873
63,63,63,1.0,0.601588,0.118193,0.0,0.1715820000000001,-0.63685,-0.2974179999999999,0.1717120000000001,0.3677959999999998,0.0201579999999998,-0.03383666666666668
64,64,64,0.741191,0.4381,0.530218,0.0,0.3740639752207599,-0.8465179999999999,-0.009080000000000116,0.10557652905865111,-0.05807962737021201,0.778950851435396,0.05748562139076583
65,65,65,1.0,0.742608,0.785923,0.0,0.8876793347281619,0.4649829490648914,-0.004234514020145658,-0.9257370769875105,-0.031210252950194663,0.0681345443398182,0.07660249736250345
66,66,66,0.800799,0.40883,0.483625,0.0,0.29299497954337184,0.641292,0.261886,0.13938640150802964,-0.46711479081823526,0.2523628689141153,0.1868012431912136
67,67,67,1.0,0.368005,0.484375,0.0,-0.05983964149640304,-0.018103823255078005,-0.022936075775932298,0.03196621087886897,-0.07791846147834208,0.008222482514065849,-0.023101551435470102
68,68,68,1.0,0.511005,0.563642,0.0,-0.2564162426627202,-0.005750000000000005,0.06931096731943985,-0.4029253687379885,-0.21690436098104338,0.0261959999999998,-0.13108150084371872
69,69,69,0.253556,0.504336,0.397153,0.0,0.4290642165127719,-0.0173019999999999,-0.0163719999999999,0.32320999290936087,0.206526,-0.38204007414145025,0.09051435588011379
70,70,70,0.950609,0.418921,0.423525,0.0,0.18661999987808892,0.150284,-0.1421919999999999,0.658488,0.2641239999999998,-0.00415,0.18552899997968145
71,71,71,0.9823777666666667,0.405881,0.523987,-0.01762223333333333,0.8064105287378529,0.277938,-0.811604,0.024696,0.3286449083211743,0.11492197304115566,0.12350123501669714
72,72,72,0.889305,0.234276,0.612488,0.0,-0.006563899915042283,0.19699242935752603,1.0,1.0,0.1531266756274112,-0.005139395895645091,0.38973596819570827
73,73,73,0.91658,0.522421,0.703787,0.0,-0.0017702636472334554,-0.21259180060995475,-0.0007547800902344554,-0.06038134951686963,0.32028664565044285,0.02566442768971368,0.011742146579310704
74,74,74,0.9097396999999999,0.471451,0.617951,-0.0027302999999999997,0.116848,-0.044428,0.2119017927239442,-0.056196,0.2941859055316898,-0.104918,0.06956561637593899
75,75,75,1.0,0.452722,0.381729,0.0,0.023250193817342675,0.21111588441378634,-1.0,0.9139206722266369,0.11272286097489213,0.10373599531892173,0.060790934458596624
76,76,76,1.0,0.819871,0.440823,0.0,-0.1231319999999999,-0.19391006035104946,-0.843966,0.2350959999999999,0.1982719999999997,0.0466439999999999,-0.11349934339184165
77,77,77,0.624953,0.647112,0.45147,0.0,0.23554048568165034,0.33449616021884016,0.082556,0.3272063762156207,0.403362,0.019983334811529946,0.23385739282127352
78,78,78,0.9531145999999999,0.754037,0.623816,0.0314336,0.09177920464085229,-0.0884899999999999,-0.573526,-0.10358428172220491,0.3298619999999999,0.22672366066748378,-0.019539236068978144
79,79,79,1.0,0.296953,0.340436,0.0,0.11026053195564169,0.096732,-0.0969705583635114,0.39221519692478507,-0.07088156045772358,0.22604300055994112,0.10956643510318881
80,80,80,0.948192,0.554317,0.191558,0.0,-0.6344464428026022,-0.23825838749346037,-0.017711623412362626,0.007016847818074906,0.14133462713325104,-0.002281966165733766,-0.12405782415380551
81,81,81,0.877782,0.54291,0.57405,0.0,-0.0760212650886807,-0.4469915781470806,0.0015065260314396922,0.003436874350235014,0.3325395120748478,0.49034,0.050801678203460175
82,82,82,0.829478,0.615108,0.363152,0.0,-0.09098203990664153,-0.28974944139911885,0.48738238476085494,0.3650513983705841,0.003971472855789991,0.0019019999999998,0.0795959624469114
83,83,83,1.0,0.236199,0.506426,0.0,-0.0013194153404521292,0.0071787029042935935,0.4697201579621938,-0.292911898929216,-0.1906874447285359,0.570803899687759,0.09379733359267373
