,party_mentioned,post_stance,author_id,num_of_agents_received,num_of_agents_not_received,num_of_spreader_agents,num_of_disinterested_agents,network_polarization,net_polarization2,network_homophily,network_homophily2,network_polarity,user_satisfaction
15,3.0,0.814067,301,3660,378,2291,1369,0.113905,0.08937543451552277,0.0025044268155364315,-0.0006533840000824631,-0.001456,1.881769632052402e-05
16,4.0,-0.85685,1233,3899,139,2458,1441,0.113627,0.08879298588021764,0.0031596049842979408,0.0025205302491034887,-0.00191,-5.473135829174251e-07
17,0.0,-0.785117,3710,2,4036,0,2,0.113626,0.08879144418048067,0.0031596049842979408,0.0025205302491034887,-0.001908,1.3672109541618347e-05
18,2.0,-0.39117,2137,2930,1108,1140,1790,0.113398,0.08873047227379921,0.0028077322451830434,0.0024581996898937254,-0.002022,5.238253291374017e-05
19,4.0,-0.272472,301,3,4035,0,3,0.113397,0.0887296954553735,0.0028077322451830434,0.0024581996898937254,-0.002023,4.455665192009488e-05
20,5.0,-0.248584,2101,3004,1034,845,2159,0.11322,0.08848996609811145,0.0028815824718379968,0.0028989150465709842,-0.002094,4.0028341046351963e-05
21,3.0,-0.828362,2644,3681,357,2339,1342,0.11264,0.08790420733008239,0.00277813309194812,0.0031758244218808617,-0.002078,4.338899368314325e-05
22,5.0,-0.692933,1688,3819,219,2285,1534,0.112406,0.08769679092059843,0.0021582458453255683,0.0016140313330285949,-0.002162,7.337433658980332e-05
23,4.0,-0.708449,2093,466,3572,248,218,0.112378,0.08770111198819855,0.00201888498199305,0.0017225954342949509,-0.002187,6.433104369552255e-05
24,3.0,-0.17273,767,1597,2441,306,1291,0.112316,0.08770294795683618,0.00209424397271906,0.0016646954227745425,-0.002173,6.479161738773775e-05
25,1.0,-0.587247,3074,3846,192,1961,1885,0.112255,0.08779983458900324,0.0022602954090917868,0.001600748081589003,-0.002057,7.219687553259014e-05
26,4.0,0.931225,429,3141,897,2067,1074,0.112746,0.08877120746131319,0.0018105818764034842,0.002480615068686896,-0.001684,0.00010246731926178603
27,3.0,0.460005,301,3,4035,0,3,0.112746,0.08877132635207069,0.0018105818764034842,0.002480615068686896,-0.001683,0.00010241689423909064
