,party_mentioned,post_stance,author_id,num_of_agents_received,num_of_agents_not_received,num_of_spreader_agents,num_of_disinterested_agents,network_polarization,net_polarization2,network_homophily,network_homophily2,network_polarity,user_satisfaction,user_activity
0,2.0,-0.459769,3458,2835,1203,1226,1609,0.119089,0.06893406701184575,0.001232318651171147,0.0009513057784893853,-0.035636,1.5159211576022675e-06,0.8909184540246484
1,5.0,-0.455548,2756,3185,853,1370,1815,0.118978,0.06895362031083817,0.001022843725349857,0.0005784218482071048,-0.035498,8.119649095917975e-06,0.8909250577525868
2,4.0,-0.672528,3798,3508,530,2030,1478,0.118622,0.0692482127018753,0.0014917675092471787,0.00023024531126077254,-0.034838,4.659108592021441e-05,0.8909250577525868
3,3.0,-0.597208,313,3824,214,2043,1781,0.118532,0.06903670637148218,0.0008671624604667144,0.0001624287482674705,-0.034824,4.509046299374747e-05,0.8909235571296603
4,4.0,-0.698781,3798,3706,332,2122,1584,0.118072,0.06921929243402096,0.0005562201271467909,-0.0006027481760482693,-0.034011,7.93313741103605e-05,0.8909235571296603
5,0.0,-0.368672,2756,3592,446,1324,2268,0.117868,0.06931693599399939,0.0009579471860014612,-9.824372961596304e-05,-0.033944,7.911502517910689e-05,0.8909233407807291
6,1.0,-0.61331,2756,3149,889,1677,1472,0.117589,0.06907295588656405,0.00016999385204629654,0.0003016599849064265,-0.033874,8.69188785181422e-05,0.8909311446340682
7,4.0,-0.17765,3798,74,3964,10,64,0.117589,0.06907337074137967,0.00016999385204629654,0.0003016599849064265,-0.033874,9.208866275596972e-05,0.890936314418306
8,5.0,0.720011,1685,3955,83,2286,1669,0.117837,0.06915226084381541,0.0002399488396115532,0.0013995317930574152,-0.034072,0.00020238747434299622,0.8909735719077837
9,0.0,-0.663821,2756,3763,275,2115,1648,0.117798,0.069155848696571,5.34366581084014e-05,0.0014336982511460748,-0.034033,0.000155565637254608,0.8909267500706952
10,1.0,0.33854,3798,407,3631,134,273,0.117839,0.06921284775088145,0.00011254427765532798,0.001653589503426613,-0.034051,0.00015780080508257107,0.8909267500706952
11,0.0,-0.744866,3248,3703,335,2182,1521,0.117692,0.06939592971128997,-2.3674641393020486e-05,0.001905184093093335,-0.03399,0.00016259716969427366,0.8909315464353069
12,3.0,0.593472,1141,3273,765,1723,1550,0.117822,0.0694518238758465,0.0003631882982445952,0.0013457465260640119,-0.034017,0.00019967132171209984,0.8909315464353069
13,3.0,0.364569,1141,3205,833,1175,2030,0.117921,0.06954446410097004,0.000290708663290787,0.0012719495812631581,-0.034019,0.00021238383718622712,0.8909442589507811
14,1.0,0.672398,3798,3807,231,2138,1669,0.11828,0.06961312079217913,6.834904891584068e-05,0.0008635537737326916,-0.034267,0.0002073237728138577,0.8909391988864087
15,3.0,0.814067,631,3826,212,2383,1443,0.118543,0.06980364301243078,0.00023510171096215597,0.002141567001993005,-0.034304,0.00020862471661182747,0.8909404998302066
16,4.0,-0.85685,3798,3886,152,2452,1434,0.117951,0.06997098326441453,0.0014447099222370515,0.002944798409517359,-0.033579,0.00019762835612655886,0.8909295034697214
17,0.0,-0.785117,1735,3722,316,2225,1497,0.117927,0.07001638784633976,0.0016772417003281007,0.0028762561312830875,-0.033564,0.00019039769259598198,0.8909222728061907
18,2.0,-0.39117,3458,3239,799,1246,1993,0.117824,0.06994837553335376,0.0018783284270945768,0.001933625825105235,-0.033582,0.00017192455568090402,0.8909037996692758
19,4.0,-0.272472,3798,382,3656,93,289,0.11781,0.07002263469331627,0.0019080424027443541,0.001933625825105235,-0.033556,0.00017579632650361785,0.8909037996692758
20,5.0,-0.248584,59,212,3826,55,157,0.117794,0.07001173817713092,0.0019912163605482667,0.001933625825105235,-0.033539,0.00016005218191337273,0.8908880555246854
21,3.0,-0.828362,3276,3834,204,2441,1393,0.117565,0.06987440565176178,0.0021463832535721958,0.0015550904995430802,-0.033502,0.0001705366335103027,0.8908985399762824
22,5.0,-0.692933,2756,3927,111,2203,1724,0.11728,0.06992223884917,0.002027515048215749,-0.0007642096921138009,-0.033219,0.00020147686624117666,0.8909036000406548
23,4.0,-0.708449,742,3826,212,2137,1689,0.117063,0.07011427683474751,0.0020980076403284463,-0.0009271369538253127,-0.032765,0.00024196245673387286,0.8909036000406548
