,party_mentioned,post_stance,author_id,num_of_agents_received,num_of_agents_not_received,num_of_spreader_agents,num_of_disinterested_agents,network_polarization,net_polarization2,network_homophily,network_homophily2,network_polarity,user_satisfaction,user_activity
0,2.0,-0.459769,2309,1974,2064,834,1140,0.114801,0.08469240567007925,-0.002842009743738186,0.003654116988305496,-0.012362,2.9377956589915004e-05,0.862699234109103
1,5.0,-0.455548,2790,2885,1153,1176,1709,0.113958,0.08368750581675719,-0.004085196746239601,0.0023026010083303516,-0.012245,5.20247627300487e-05,0.862699234109103
2,4.0,-0.672528,1023,3429,609,1689,1740,0.11335,0.08301759720398008,-0.003164209583154434,0.0025769432430007757,-0.012607,0.00011788070479491624,0.8627650900511677
3,3.0,-0.597208,3499,515,3523,230,285,0.113338,0.0829706265934363,-0.003577464036866383,0.0029340838988614797,-0.012881,0.00010620543038705952,0.8627534147767599
4,4.0,-0.698781,586,3487,551,1652,1835,0.112979,0.08256119079580525,-0.0038609037606628055,0.004033719955074357,-0.013122,0.00020272017413551212,0.8628167457992902
5,0.0,-0.368672,1270,1972,2066,627,1345,0.112722,0.08212838216894919,-0.0037303816146514535,0.0038100958954622737,-0.013337,0.00016326617562102835,0.8627772918007758
6,1.0,-0.61331,1547,2997,1041,1463,1534,0.112313,0.08128359880822984,-0.0045349915366342305,0.003014422272014129,-0.014181,0.00012285660023108032,0.8627368822253859
7,4.0,-0.17765,1756,1460,2578,155,1305,0.112274,0.08115510737263489,-0.004663573061551225,0.003014422272014129,-0.014236,0.0001237723962201865,0.8627368822253859
8,5.0,0.720011,1701,2950,1088,1543,1407,0.113488,0.0819804733844883,-0.00437335859887227,0.0034197219803725294,-0.014436,2.6479427663613112e-05,0.8626395892568294
9,0.0,-0.663821,1337,3411,627,1633,1778,0.113055,0.08111667072131551,-0.004645821219879578,0.002156452971192805,-0.015067,9.667766361310568e-06,0.862622777595527
10,1.0,0.33854,2321,2166,1872,584,1582,0.113319,0.0812040500412902,-0.0044215630905861955,0.0021822207132206326,-0.015098,3.6535196418255347e-05,0.862622777595527
11,0.0,-0.744866,1547,3423,615,1711,1712,0.112904,0.08037854182058658,-0.00413287736391426,0.0010897188273929887,-0.015734,4.138156928282577e-05,0.862622777595527
12,3.0,0.593472,1608,2886,1152,1302,1584,0.11391,0.08134713174049908,-0.0033851748713893907,0.002125582055745892,-0.015942,-7.204021209870414e-06,0.8625741920050343
13,3.0,0.364569,1547,3,4035,0,3,0.113909,0.08134670450949118,-0.0033851748713893907,0.002125582055745892,-0.015942,-1.0621938186019673e-05,0.862570774088058
14,1.0,0.672398,2790,2759,1279,1320,1439,0.114845,0.08251086060777188,-0.003922987542260462,0.0004928850282611393,-0.01558,7.818296401749607e-05,0.8625835572026905
15,3.0,0.814067,3328,3529,509,1977,1552,0.116302,0.08329627715904164,-0.004012806320276068,-0.0013356687427624173,-0.015391,0.00010460870058595363,0.8626099829392588
16,4.0,-0.85685,1245,0,4038,0,0,0.116302,0.08329627715904164,-0.004012806320276068,-0.0013356687427624173,-0.015391,0.00010460870058595363,0.8626099829392588
17,0.0,-0.785117,1547,2713,1325,1322,1391,0.116,0.08298256596563937,-0.003353234383532983,-0.00027751532292681153,-0.015494,0.00017300035693653545,0.8626099829392588
18,2.0,-0.39117,2790,1890,2148,627,1263,0.115554,0.08293981121683981,-0.003505424869267585,-0.00010313637909281727,-0.015096,0.00019178721011801602,0.8626099829392588
19,4.0,-0.272472,1837,1,4037,0,1,0.115554,0.08293938913268238,-0.003505424869267585,-0.00010313637909281727,-0.015097,0.00018839780680036312,0.8626065935359412
20,5.0,-0.248584,1356,1613,2425,372,1241,0.115303,0.0824839048791249,-0.003350201649138951,0.00021828229777061557,-0.015204,0.00015151157258397295,0.8625697073017248
21,3.0,-0.828362,2790,3603,435,2076,1527,0.113826,0.08160657693633633,-0.0016090711733451246,0.0017524454795688111,-0.014951,0.00019049443963027151,0.8625768554695882
22,5.0,-0.692933,2790,1997,2041,1029,968,0.113332,0.08154192829920866,-0.0007957084846864988,0.00443558681025663,-0.014654,0.0002188754250226954,0.8626052364549807
23,4.0,-0.708449,1983,692,3346,318,374,0.11317,0.08154904422051365,-0.000986444332705154,0.0049633457726516094,-0.014347,0.00028532500825286785,0.8626052364549807
24,3.0,-0.17273,3685,5,4033,0,5,0.11317,0.08154910380946244,-0.000986444332705154,0.0049633457726516094,-0.014347,0.0002853920248411323,0.8626053034715689
25,1.0,-0.587247,1748,2975,1063,1361,1614,0.112639,0.0803903897735045,-0.0010537399181562335,0.005203266592764238,-0.015161,0.00031951792234051333,0.8626053034715689
26,4.0,0.931225,1547,0,4038,0,0,0.112639,0.0803903897735045,-0.0010537399181562335,0.005203266592764238,-0.015161,0.00031951792234051333,0.8626053034715689
27,3.0,0.460005,1547,3,4035,0,3,0.112639,0.08038989541160409,-0.0010537399181562335,0.005203266592764238,-0.015162,0.000315513317240241,0.8626012988664685
28,0.0,-0.838253,2790,3176,862,1537,1639,0.112414,0.07989240360014367,-0.0018127297820704897,0.004833338104252055,-0.015507,0.00035571352768837175,0.8626012988664685
29,1.0,0.335564,1983,3242,796,910,2332,0.113048,0.08056388546754721,-0.0012544278844663695,0.003443421800493832,-0.015322,0.0003740975171247009,0.8626012988664685
30,3.0,-0.331349,2915,2640,1398,740,1900,0.11259,0.08045116657745326,-0.0016958543079076452,0.0019929303947027097,-0.015024,0.00039316274543439565,0.8626012988664685
