Unnamed: 0,Unnamed: 0.1,id,user_activity,pol_interest,privacy_preference,user_satisfaction,issue_0,issue_1,issue_2,issue_3,issue_4,issue_5,pol_inclination
0,0.0,0.0,0.7411133239069457,0.49116799999999994,0.5165504000000001,0.00196552390694566,-0.05843759498426472,-0.0002912511784584796,0.03051186878594417,-0.010375912839816209,-0.007812888510040571,0.01898614007644641,-0.004569939775031581
1,1.0,1.0,0.9136533,0.5390064,0.44907579999999997,0.0,0.03566112972659438,-0.16280173805034842,-0.07561663084293162,-0.318575379705329,-0.035023540517564976,-0.06746272314443456,-0.10396981375566901
2,2.0,2.0,0.836840641,0.5410507,0.5450124,-0.003961059,0.015131419211526317,0.1265837754199947,0.15462027724073685,-0.0017171108749388154,-0.033996950741192224,0.0036181145731309485,0.044039920804876245
3,3.0,3.0,0.8894616,0.4779268,0.48262479999999996,0.0,0.019507494294760445,-0.03921824356592986,-0.047917699937357484,-0.174984478045475,-0.12566506818708592,-0.05081649279831296,-0.06984908137323345
4,4.0,4.0,0.8677965966666668,0.49642590000000003,0.5308549,0.02273280066666667,0.009009428671347202,0.05937576113217138,-0.12584162272215918,-0.050087914047683334,0.08386756378927834,0.2069834899908211,0.03055111780229592
5,5.0,5.0,0.9562432,0.49813450000000004,0.48347489999999993,0.0,0.023887974766572777,-0.00708621045977432,0.19176269020693376,0.20688548824881936,-0.1073550098640366,-0.016773339844221635,0.04855359884238221
6,6.0,6.0,0.9740800999999999,0.46327759999999996,0.5751061,0.03406289999999999,0.07667699999999997,-0.11675931617639863,-0.300513,-0.05267699999999999,0.11533120000000001,0.052422081179362354,-0.03758650583283936
7,7.0,7.0,0.9753524,0.4791098,0.5089243999999999,0.0,-0.024841878663855756,-0.0846417905181481,0.1723021421539231,-0.1727089067769399,0.06620287021526614,-0.20408611965381568,-0.04129561387392835
8,8.0,8.0,0.9054346025,0.42101879999999997,0.4730238,0.00470573625,-0.06820412725461888,-0.038899581116389734,-0.131106115917549,0.006022418537264473,0.10641645274352429,-0.014336828993409309,-0.02335129700019636
9,9.0,9.0,0.8581028999999999,0.45067969999999996,0.5243046,0.0,-0.15509387265536628,-0.07489144795388998,0.35608367379943645,0.00016638749205627807,-0.07327733125935434,-0.04141284129508725,0.0019290946879657975
10,10.0,10.0,0.7770555,0.4557112,0.46966359999999996,0.0,0.009431811271825942,-0.15423978408952044,0.05531788817875748,0.14619113898610686,0.006714885937692291,-0.10488656211617602,-0.006911770305218984
11,11.0,11.0,0.84238938,0.5303027,0.5180597,0.006286800000000011,-0.08687400000000003,0.1394747992479431,0.002989799999999948,-0.030628647289988885,-0.007954237180521828,-0.0787154809040229,-0.010284627687765108
12,12.0,12.0,0.9708911600000001,0.5437758,0.47090920000000003,0.009833689999999999,-0.02502339999999999,-0.00557865741338649,-0.0841281700931561,0.1225421087275818,0.09618665111231214,0.05929099999999995,0.02721492205555857
13,13.0,13.0,0.8738712,0.398731,0.5201727,0.0,0.07050396685239321,0.19234943616111816,-0.1394837933580223,-0.09554268009632097,0.03070819836456882,0.026804395645297113,0.014223253928172336
14,14.0,14.0,0.7157947433333334,0.49286909999999995,0.44934979999999997,0.00738474333333333,-0.04757777921230205,0.10265315473259,0.012697644231366437,0.10686844179892466,0.07839776622031612,0.050680911438472954,0.05062002320156134
15,15.0,15.0,0.7877345499999999,0.4911947,0.5388776,-0.00026659000000000925,-0.0625464,-0.02159760663253727,0.017973807220042114,-0.002134283883443901,0.0636621854777876,0.07793129325920094,0.012214832573508241
16,16.0,16.0,0.7905822922222222,0.4544976,0.4748289,0.0022510222222222203,0.20829002898993415,0.052794305419733976,0.007873817544872163,0.15230536999066818,-0.11104449581868998,-0.04365132169555207,0.04442795073849436
17,17.0,17.0,0.8945117,0.5116657,0.5073251,0.0,0.03255818700482438,-0.05059379847061992,0.18849979814833892,0.039665177146051965,0.12943240076356338,0.05527009953703175,0.06580531068819842
18,18.0,18.0,0.90040715,0.4311876,0.4486047,0.01071331999999999,-0.05014799999999999,0.0062479592827840436,-0.015433833365842628,0.061257761372854214,0.025157199999999956,-0.03694937839931735,-0.0016447151849203004
19,19.0,19.0,0.8579414544444445,0.4869986,0.5414831999999999,-0.00029704341269840977,-0.08718044384068105,0.025858171945190477,0.03676623911490564,0.007004616230217189,0.12832953292912666,-0.1129113016202227,-0.00035553087357729216
20,20.0,20.0,0.8304575933333334,0.3922417,0.46605109999999994,0.00967533333333334,-0.08838045594880281,-0.009543324087294806,-0.060138673787587006,-0.0634541276263932,-0.14684855027717664,0.01742561451138555,-0.05848991953597812
21,21.0,21.0,0.9329755000000001,0.4728947,0.5575609,0.0,-0.07744552561214813,0.01909170894361666,-0.21616816056791652,-0.04906450208890277,0.03587271587415033,-0.005942408072529664,-0.04894269525395502
22,22.0,22.0,0.9138681,0.47943959999999997,0.46706070000000005,0.01070536,0.01291933000665082,0.08633840648902133,-0.2995193001642013,-0.26586496182871194,0.11624771520522523,-0.12233735508475148,-0.07870269422946122
23,23.0,23.0,0.9050172690109889,0.5383110999999999,0.5019796999999999,-0.0018094309890109802,-0.001414378523118108,0.01819276318163291,-0.07707818562928312,-0.140084205090732,-0.07224248844324198,0.017958732980264965,-0.0424446269207462
24,24.0,24.0,0.89934657,0.46257539999999997,0.4094592,0.00559527,0.013495510278507377,-0.09653728698983301,0.025226388482439056,0.051699814685731885,0.05135802362722014,-0.09781511330789718,-0.008762110537305277
