Unnamed: 0,party_mentioned,post_stance,author_id,num_of_agents_received,num_of_agents_not_received,num_of_spreader_agents,num_of_disinterested_agents,network_polarization,net_polarization2,network_homophily,network_homophily2,network_polarity,user_satisfaction
4918,4.0,0.681227,1814.0,1567.3,2470.7,579.6,987.7,0.14158120000000002,0.0997845237417547,-0.00024390832014353005,0.00269904784474,-0.0014537000000000005,0.00550687063563834
4919,5.0,0.619067,1815.5,1616.6,2421.4,505.9,1110.7,0.14178960000000002,0.0999038370982892,-0.00023104702864128998,0.0028498431305177202,-0.0014547999999999998,0.00550581235145255
4920,5.0,-0.532017,1746.7,884.5,3153.5,259.9,624.6,0.14174199999999998,0.09991170002462173,-0.00025026150628284,0.00284896363410421,-0.0014468999999999997,0.0055126929761396505
4921,1.0,0.556553,1866.1,1437.6,2600.4,441.4,996.2,0.14200379999999999,0.10004223665743177,-0.00034857357034656004,0.0029561609246630902,-0.0014422999999999999,0.00551553701186276
4922,0.0,-0.412187,2136.4,839.7,3198.3,213.6,626.1,0.1419711,0.09999717236882742,-0.00038122273378436,0.00290709397288624,-0.0014393999999999998,0.00552007279959879
4923,5.0,0.531291,1689.0,716.6,3321.4,204.7,511.9,0.14204650000000002,0.10007677176170433,-0.00047856796522798006,0.00296074661654539,-0.0014380999999999999,0.00552169672171418
4924,0.0,-0.576831,1688.6,1700.1,2337.9,571.9,1128.2,0.14169879999999999,0.09983595066711672,-0.00045835849101013,0.0029971770278681897,-0.0014846999999999996,0.00552795678299324
4925,2.0,0.511811,1989.2,1372.6,2665.4,444.6,928.0,0.1418433,0.09993630045684287,-0.0004917088231571458,0.0029516357941960403,-0.0015087999999999998,0.005527571295456229
4926,3.0,-0.339565,1999.9,1178.7,2859.3,286.4,892.3,0.1416724,0.0998651381853731,-0.0004390557740382722,0.00288569077432843,-0.0014852000000000003,0.00552786674969165
4927,3.0,0.523932,2134.2,1278.9,2759.1,417.5,861.4,0.141811,0.09991796524747244,-0.00038714244712117997,0.0028410979897334097,-0.0014797,0.005533443278415399
4928,5.0,-0.623913,1608.9,1396.4,2641.6,444.7,951.7,0.1417328,0.0998497793235064,-0.0005409841440854205,0.00264298275275152,-0.001483,0.0055431103128639105
4929,5.0,-0.581167,2665.9,1057.8,2980.2,343.9,713.9,0.1416758,0.09985465788015449,-0.0006255021351973198,0.00278108473492597,-0.0014743,0.00554845575094811
4930,3.0,-0.354359,2004.0,543.8,3494.2,121.5,422.3,0.14162639999999999,0.09984852515041151,-0.0006269685154124498,0.00275045448121237,-0.0014967000000000001,0.00554797523283311
4931,2.0,0.561024,1726.4,1730.5,2307.5,624.1,1106.4,0.1418594,0.10001371723590909,-0.0007448589208457271,0.00252719052859319,-0.0015057000000000004,0.00555473037086604
4932,3.0,0.532194,1622.6,1080.0,2958.0,400.7,679.3,0.1420922,0.10011729215330563,-0.0007447106593982901,0.00256784953066861,-0.0014992999999999999,0.005560029705018931
4933,4.0,0.558424,2055.1,1367.4,2670.6,506.4,861.0,0.1424028,0.10031551730073093,-0.0007468518492024601,0.00262813715328085,-0.001447,0.00556919242523294
4934,4.0,-0.576783,1880.9,1717.5,2320.5,599.1,1118.4,0.1420267,0.10002874408434266,-0.0006794420541328795,0.0027774718813961,-0.0014575,0.00556262216155381
4935,1.0,-0.562064,2284.8,1089.5,2948.5,329.7,759.8,0.1419395,0.09992965755598741,-0.0007102840374085551,0.0026976660065676098,-0.0014548999999999996,0.00556968134590786
4936,3.0,-0.9480070000000002,1706.2,1280.7,2757.3,503.1,777.6,0.1418837,0.0998834997577393,-0.00061528312056963,0.00271545829090097,-0.0014907,0.00556867963902119
4937,3.0,-0.529551,1758.5,881.6,3156.4,261.6,620.0,0.1417802,0.09986779373470007,-0.0006146270816552103,0.00280132607001877,-0.0014696000000000004,0.00557607998711692
4938,2.0,-0.254146,1948.3,471.7,3566.3,98.9,372.8,0.1417198,0.09982361927518567,-0.0006635898423482278,0.00283022916239767,-0.0014625999999999997,0.0055734581148431704
4939,0.0,-0.605408,1604.5,1486.9,2551.1,513.8,973.1,0.14146620000000001,0.09965103637666042,-0.00057815259745135,0.00286712729260285,-0.0014585999999999998,0.0055925383730297
4940,2.0,0.463706,1673.0,1698.7,2339.3,579.9,1118.8,0.14167480000000002,0.09983165129098383,-0.00035421302108772,0.0032286537017402204,-0.0014413,0.005598490927600409
4941,3.0,0.547985,1958.9,1537.8,2500.2,548.3,989.5,0.1419493,0.09997647815592604,-0.0003435017354454,0.0031963557363541895,-0.0014290000000000004,0.00559611894411206
4942,0.0,0.365069,2217.3,1085.8,2952.2,295.6,790.2,0.1421478,0.1000780939263333,-0.00037766332517569375,0.0031036485252439495,-0.0014186999999999997,0.00559414609483162
4943,0.0,0.378451,1719.1,1200.7,2837.3,310.3,890.4,0.1423007,0.10019023661489117,-0.0003565549117009574,0.003076941428042099,-0.001431,0.00560137448911411
4944,4.0,0.452319,2125.1,1470.7,2567.3,483.5,987.2,0.1425699,0.10042707109163233,-0.00043079809387173003,0.002968295459942229,-0.0013888999999999998,0.00560796717120521
4945,0.0,0.544851,2201.1,1322.5,2715.5,468.5,854.0,0.1429647,0.10072327875761689,-0.00027151190898131003,0.0031848914839868923,-0.0013511000000000003,0.00559992439465339
4946,4.0,-0.848264,2305.5,1899.5,2138.5,791.0,1108.5,0.1423905,0.10045018055924,-0.00024128268025873004,0.0033417656289086396,-0.0014272999999999994,0.0056158373491801
4947,4.0,0.380745,1623.5,1682.3,2355.7,501.9,1180.4,0.1427191,0.10070998251480959,-8.680507434827e-05,0.00364626948719415,-0.0014076000000000002,0.0056228041789647
4948,5.0,0.345542,1526.3,784.2,3253.8,156.9,627.3,0.1427852,0.10076711226180482,-0.00013285189798303005,0.00357336354663252,-0.0014114000000000002,0.005617517787882729
4949,2.0,0.82373,2185.1,1872.3,2165.7,801.6,1070.7,0.1430327,0.10096571126368388,-8.214024224122e-05,0.00362116522468268,-0.0014440999999999998,0.0056176460447626
4950,1.0,0.463739,1981.2,1174.5,2863.5,329.2,845.3,0.1431637,0.10106297399616541,-0.00013653576391361,0.0035153488891892398,-0.0014548999999999996,0.00561549961148114
4951,1.0,0.41085399999999994,2559.8,860.9,3177.1,218.0,642.9,0.1432661,0.10113313235391,-0.00025274784627498,0.00351535335500047,-0.0014665999999999991,0.00562428874994143
