Unnamed: 0,party_mentioned,post_stance,author_id,num_of_agents_received,num_of_agents_not_received,num_of_spreader_agents,num_of_disinterested_agents,network_polarization,net_polarization2,network_homophily,network_homophily2,network_polarity,user_satisfaction,user_activity
0,2.0,-0.459769,2477.0,2949.4,1088.6,1259.6,1689.8,0.1176791,0.07499467568815735,-0.00086366866498506,-0.00070256729078886,-0.0054489000000000004,5.67014866237446e-06,0.8767941550885807
1,5.0,-0.455548,1963.9,2643.0,1395.0,1120.4,1522.6,0.1175159,0.07492984152397289,-0.00085490325778994,-0.0005064558203772201,-0.0054123,-2.2257409924948906e-06,0.8767920499252329
2,4.0,-0.672528,1702.5,3623.6,414.4,1967.4,1656.2,0.11728749999999999,0.07479277930814485,-0.0008266235506110149,-0.0005014265923585301,-0.0054459,3.055566168528763e-05,0.8767920499252329
3,3.0,-0.597208,2055.4,2971.0,1067.0,1488.3,1482.7,0.1170026,0.07478156240403691,-0.0009799895488603984,-0.00037167711899594,-0.0055666,2.73441601673529e-05,0.8767920499252329
4,4.0,-0.698781,2086.5,3266.0,772.0,1798.2,1467.8,0.1167712,0.07479290417978246,-0.00108745043381553,-0.00040994802229205995,-0.005608299999999999,3.487203564024971e-05,0.8767920499252329
5,0.0,-0.368672,1884.3,2369.3,1668.7,839.3,1530.0,0.11658589999999999,0.074754427882929,-0.00110888835638558,-0.00051798749407873,-0.0056345,3.484480175533225e-05,0.8767880110472619
6,1.0,-0.61331,1842.8,3290.8,747.2,1696.9,1593.9,0.1163883,0.07462070326270835,-0.00099276069929405,-0.00033192454581883006,-0.0056351,3.2075685677533815e-05,0.8767813622538471
7,4.0,-0.17765,1753.1,1365.7,2672.3,214.8,1150.9,0.1163601,0.07459592083010351,-0.00098506797852654,-0.00051997161962871,-0.005633000000000002,3.0630523484964594e-05,0.8767803201854627
8,5.0,0.720011,2109.1,3219.7,818.3,1818.1,1401.6,0.1166753,0.07481673180497031,-0.00092072087407309,-0.0006099463124384299,-0.005607099999999999,3.431430285172339e-05,0.8767642306199761
9,0.0,-0.663821,1933.3,3363.8,674.2,1817.9,1545.9,0.11646780000000001,0.07493126645772077,-0.00109206549289263,-0.00017665129253677998,-0.0056804,4.266771939541948e-05,0.8767588191275628
10,1.0,0.33854,2022.2,2449.2,1588.8,763.3,1685.9,0.116615,0.07497718669647419,-0.0010625760759275901,-4.414676810628997e-05,-0.005754200000000001,4.1239768110918595e-05,0.8767558236955253
11,0.0,-0.744866,2499.6,3123.1,914.9,1756.1,1367.0,0.1163826,0.074915613291207,-0.0009683598089340401,7.668689492503602e-05,-0.0057548,6.477198439666658e-05,0.8767552104960947
12,3.0,0.593472,1569.4,2078.0,1960.0,1042.1,1035.9,0.1166223,0.0750185956192376,-0.00095170408095351,0.00015900685665950007,-0.005733,6.516435839914477e-05,0.8767636788669786
13,3.0,0.364569,1904.9,1986.1,2051.9,677.1,1309.0,0.11682719999999999,0.07507677822190953,-0.0009315596882984599,0.00028231986265172,-0.0056887000000000005,6.437421147558264e-05,0.8767569052637765
14,1.0,0.672398,2413.3,2878.6,1159.4,1548.6,1330.0,0.1171847,0.07524801387239344,-0.00077035589987622,0.00026041557116214005,-0.0056546,4.9741924564629606e-05,0.8767528564862326
15,3.0,0.814067,1803.0,3632.3,405.7,2154.2,1478.1,0.1177068,0.07541244223802057,-0.00070707719862171,-9.424019516348996e-05,-0.0055936,2.2251200065996614e-05,0.8766863406984964
