Unnamed: 0,network_polarization,network_polarization2,network_homophily,network_homophily2,network_polarity,user_satisfaction
0,0.11773979999999999,0.07507714208852351,-0.00106729663166385,-0.0009257393203652599,-0.0054748999999999996,5.774066655662845e-06
100,0.11851920699999999,0.07676815313948648,-0.0007861867223779576,-0.000553300672500961,-0.005473845000000001,4.047760039526083e-05
200,0.123963553,0.08015044298724038,-0.0008419736037906493,0.0007335713919989817,-0.005370543,4.004577144853221e-05
300,0.125127547,0.08175084104365292,-0.0007388121538465886,0.0007750273106136466,-0.005161069000000001,0.00013365530648368882
400,0.129115352,0.08485823151265498,-0.0008994458396037809,0.001447235953730581,-0.005091292,0.00016846953693485246
500,0.128578088,0.08552837306998766,-0.001323092986548746,0.002369598162229,-0.00543736,0.00023947172843882074
600,0.127838522,0.0863396527533773,-0.001243411336014781,0.0012689760329758562,-0.005904522000000001,0.00030913670228473883
700,0.130498526,0.08823759483000808,-0.0003652934364510699,0.0017394428342298687,-0.005844484,0.00045726625392140187
800,0.127846463,0.08686630236490477,-0.0002838524527203798,0.001084616449381133,-0.005180275,0.0005009004183686501
900,0.128004317,0.08758761853903206,-0.0006871864735079816,0.0019357079514735517,-0.005153637,0.0005603962347829923
1000,0.130647938,0.08921723080432936,-0.0007968439208758335,0.0013964696757773508,-0.004906818,0.0005915371425416722
1100,0.13083276300000002,0.08937190467088785,-8.875664759962576e-05,0.0020812296409047416,-0.004989137,0.0006244175345433481
1200,0.133048588,0.09092204005492263,5.396184806662207e-05,0.003057455423912408,-0.004645118,0.0006229335898770361
1300,0.134891256,0.0925370626118567,0.0010253150055340144,0.003324668050298284,-0.00385197,0.0007240440688031169
1400,0.136565672,0.09399258454424322,0.0010510008776437132,0.004045642436728769,-0.0035976370000000003,0.0008038868383869746
1500,0.135545581,0.09352857149144214,0.00041241298563612867,0.003902912502100936,-0.003455373,0.0008635634928883545
1600,0.136654373,0.0944144755608615,0.00012494190107935433,0.0036295749227623396,-0.003403407,0.0008528382368443891
1700,0.138291617,0.0955453201629502,0.00010895862182135773,0.004379211036382828,-0.003097765,0.0009874091080496331
1800,0.13723707899999998,0.09507827030705071,-3.573089545563569e-05,0.0036021516515645953,-0.002941881,0.001092295341760712
1900,0.136342224,0.09474895408371636,0.0002937311738645006,0.003257850646854486,-0.002961352,0.001109908453702122
