Unnamed: 0,party_mentioned,post_stance,author_id,num_of_agents_received,num_of_agents_not_received,num_of_spreader_agents,num_of_disinterested_agents,network_polarization,net_polarization2,network_homophily,network_homophily2,network_polarity,user_satisfaction,user_activity
11,0.0,-0.744866,1667.3,3269.8,768.2,1840.7,1429.1,0.115725,0.07442181867327322,-0.0007633742001576001,-0.00046038623596139866,-0.0055133,5.3277432756124804e-05,0.8767609975097304
12,3.0,0.593472,1896.8,2645.4,1392.6,1298.4,1347.0,0.116178,0.07457066219185211,-0.0007361407737272599,-0.0001395680050156099,-0.0054479,3.927839605336452e-05,0.8767326792812085
13,3.0,0.364569,2076.8,2455.6,1582.4,837.8,1617.8,0.1164298,0.07467823930529184,-0.0008052759615305001,-7.009948278555999e-05,-0.0054065,3.610326682721643e-05,0.8767287359134194
14,1.0,0.672398,2437.8,3626.7,411.3,1917.0,1709.7,0.1169052,0.0749933661696436,-0.00073642054988337,0.0002770207344396822,-0.005484500000000001,4.277511241863847e-05,0.8767410641408802
15,3.0,0.814067,1920.5,2277.4,1760.6,1370.5,906.9,0.1173996,0.07522367037782828,-0.00086888458282346,0.00029523574722821,-0.0054841,3.60285123111578e-05,0.8767269133774899
16,4.0,-0.85685,1419.8,3284.4,753.6,1936.7,1347.7,0.1171191,0.07520204548567705,-0.00091887646084577,0.00023947155719927,-0.0054797000000000005,4.182242802525096e-05,0.8767299667797348
17,0.0,-0.785117,2020.1,3517.9,520.1,1989.4,1528.5,0.1167489,0.07506503204886743,-0.0007731422567559801,0.0003622019615114499,-0.0054789999999999995,4.71172457043992e-05,0.8767408227341789
18,2.0,-0.39117,1694.7,2819.1,1218.9,1036.4,1782.7,0.11654309999999998,0.07489321140002148,-0.00073949225509169,0.0003628926664957126,-0.005442299999999999,4.366608398945624e-05,0.8767304947198189
19,4.0,-0.272472,2117.6,961.4,3076.6,219.1,742.3,0.1164963,0.07483665966000586,-0.00071294438501109,0.0003697200074072426,-0.0054335,4.491903520206777e-05,0.8767304947198189
20,5.0,-0.248584,1936.4,1724.0,2314.0,420.7,1303.3,0.1163769,0.0747438775969468,-0.00067287206003615,0.0003569026991709004,-0.0054227,4.3545503339649485e-05,0.876720759408654
21,3.0,-0.828362,2048.9,2848.1,1189.9,1702.4,1145.7,0.11605669999999998,0.07468155421895374,-0.0005088963340220858,0.0005608804115382099,-0.0054804,4.2821498611923236e-05,0.8767173144891194
22,5.0,-0.692933,2237.6,3795.3,242.7,2083.6,1711.7,0.1156479,0.07442992039294288,-0.00046520500774723997,0.00039322112519210004,-0.005494699999999999,2.9504896111308015e-05,0.876695806801573
23,4.0,-0.708449,2372.9,2631.2,1406.8,1360.1,1271.1,0.1153904,0.07432187751878203,-0.00028971343366627974,0.00068414120688754,-0.0055001,4.3402081091831616e-05,0.876695806801573
24,3.0,-0.17273,1970.7,937.4,3100.6,149.7,787.7,0.1153424,0.07430842395747549,-0.00031943536787131,0.0007434678799867886,-0.0055005,4.2638583646396553e-05,0.8766981893770778
