Unnamed: 0,party_mentioned,post_stance,author_id,num_of_agents_received,num_of_agents_not_received,num_of_spreader_agents,num_of_disinterested_agents,network_polarization,net_polarization2,network_homophily,network_homophily2,network_polarity,user_satisfaction,user_activity
0,2.0,-0.459769,1797.6,2571.0,1467.0,1090.5,1480.5,0.1173994,0.07480948370299294,-0.0009636053682936862,-0.00046464112333245,-0.0053746,1.8253106874638936e-05,0.862699234109103
1,5.0,-0.455548,1811.7,2104.7,1933.3,862.6,1242.1,0.11698630000000002,0.07448645535353907,-0.0011305264550192664,-0.0002426585757573001,-0.0053763,1.2480216233980593e-05,0.862699234109103
2,4.0,-0.672528,1766.4,2728.5,1309.5,1457.9,1270.6,0.11654230000000002,0.07412605587146348,-0.0011579707147786663,-2.2063358951780082e-05,-0.0056471,2.920937732995966e-05,0.8627650900511677
3,3.0,-0.597208,2223.8,2263.8,1774.2,1112.2,1151.6,0.116022,0.07387602397239823,-0.00123034542627612,0.00025708155030356995,-0.005383300000000001,4.5981656595214464e-05,0.8627534147767599
4,4.0,-0.698781,2208.1,2600.6,1437.4,1344.0,1256.6,0.1156061,0.0735041933999005,-0.00108525723506547,0.00011644469284839998,-0.0053787,5.7253414456067036e-05,0.8628167457992902
5,0.0,-0.368672,2382.1,1611.3,2426.7,558.2,1053.1,0.11531359999999999,0.0732720882841829,-0.00117851252194788,-0.00015461160654599719,-0.005478000000000001,5.553098474123945e-05,0.8627772918007758
6,1.0,-0.61331,1474.9,3386.7,651.3,1696.0,1690.7,0.1145559,0.07277177463798537,-0.00115889793058367,0.00012773499475286998,-0.005484999999999999,6.390623831060373e-05,0.8627368822253859
7,4.0,-0.17765,2306.3,654.5,3383.5,86.5,568.0,0.1145289,0.07275252232199572,-0.00121843347310025,0.00012773499475286998,-0.0055019000000000005,6.05795708703203e-05,0.8627368822253859
8,5.0,0.720011,1433.6,2668.9,1369.1,1453.2,1215.7,0.11554930000000001,0.07356728265300239,-0.0008921081926597697,0.0003117842613901888,-0.005838399999999999,3.985881862143488e-05,0.8626395892568294
9,0.0,-0.663821,1796.4,2587.7,1450.3,1350.4,1237.3,0.1150304,0.0729954229856416,-0.0007108927371415163,0.00062713901269669,-0.0060935,4.7447570271991665e-05,0.862622777595527
